,,,,,,,,,,,,
Training,Epochs,Size,F1,Recall,Precision,Validation,method,Model,,,,
Time,,Mg,,,,accuracy,,,,,,
24 min,17,45,0.78,0.78,0.79,0.7917,TTL,DenseNet,,,,
20 min,11,83,0.67,0.66,0.69,0.692,LLFT,201,,,,
17 min,6,68,0.75,0.75,0.76,0.7458,TTL,DenseNet,,,,
32 min,50,68,0.68,0.68,0.71,0.7052,TTL+Attention,161,,,,
18 min,10,112,0.7,0.7,0.7,0.7061,LLFT,,,,,
27 min,27,107,0.61,0.62,0.65,0.647355,BTMRI+LLFT,EfficientFormer,,,,
10 min,20,92,66,0.65,0.68,0.67749,BTMRI+LLFT,Resnet 50,,,,
13 min,18,112,0.77,0.78,0.77,0.797649,TTL,Resnet 152,,,,
17 min,21,235,0.76,0.79,0.7,0.711167,LLFT,,,,,
194 min,11,235,0.69,0.68,0.71,0.68262,FTL,,,,,
16 min,20,215,0.74,0.75,0.78,0.765743,TTL,Resnext 101,,,,
17 min,20,326,0.67,0.68,0.7,0.704143,LLFT,,,,,
44 min,20,339,0.77,0.75,0.76,0.764133,BTMRI+LLFT,,,,,
9 min,9,79,0.76,0.75,0.74,0.752309,BTMRI+TTL,Swin,,,,
12 min,10,79,0.72,0.73,0.72,0.7389,TTL,,,,,
15 min,13,339,0.71,0.73,0.76,0.7212,LLFT,,,,,
8 min,11,335,0.64,0.66,0.67,0.66666,BTMRI+LLF,,,,,
15 min,17,335,0.68,0.69,0.66,0.7014,CXR+LLF,ViT,,,,
18 min,23,335,0.67,0.7,0.67,0.665827,CCT+LLF,,,,,
15 min,13,335,0.66,0.68,0.66,0.72812,LLF,,,,,
3 min,10,60,0.66,0.65,0.66,0.64651,CXR+LLF,Yolo8m,,,,
4 min,15,48,0.63,0.62,0.66,0.632242,CXR+TTL,,,,,
10 min,17,25,0.69,0.71,0.68,0.671212,BTMRI+LLF,YoloTiny,,,,0
7 min,20,25,0.69,0.58,0.62,0.59121,LLF,,,,,
18 min,15,106,0.55,0.58,0.59,0.5668,LLF,Inception_V3,,,,
